"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","72235","Move to Beginning of Paragraph Extending Selection","n/A","ctrl+shift+a","XCode","Selection","ctrl shift"
"","72236","Move Subword Forward Extending Selection","n/A","ctrl+shift+right","XCode","Selection","ctrl shift"
"","72237","Move to End of Text Extending Selection","n/A","shift+cmd+right","XCode","Selection","shift cmd"
"","72238","Move to Beginning of Document Extending Selection","n/A","shift+cmd+up","XCode","Selection","shift cmd"
"","72239","Move Down Extending Selection","n/A","ctrl+shift+n","XCode","Selection","ctrl shift"
"","72240","Move Word Backward Extending Selection","n/A","ctrl+alt+shift+b","XCode","Selection","ctrl alt shift"
"","72241","Move Word Forward Extending Selection","n/A","ctrl+alt+shift+f","XCode","Selection","ctrl alt shift"
"","72242","Move Subword Forward","n/A","ctrl+right","XCode","Selection","ctrl"
"","72243","Move Page Up Extending Selection","n/A","shift+pageup","XCode","Selection","shift"
"","72244","Move to Beginning of Document","n/A","cmd+up","XCode","Selection","cmd"
"","72245","Move Left","n/A","left","XCode","Selection","None"
"","72246","Move Right Extending Selection","n/A","shift+right","XCode","Selection","shift"
"","72247","Move Backward Extending Selection","n/A","ctrl+shift+b","XCode","Selection","ctrl shift"
"","72248","Move to Beginning of Paragraph","n/A","ctrl+a","XCode","Selection","ctrl"
"","72249","Move to End of Document Extending Selection","n/A","shift+cmd+down","XCode","Selection","shift cmd"
"","72250","Move Subword Backward","n/A","ctrl+left","XCode","Selection","ctrl"
"","72251","Move Word Right","n/A","alt+right","XCode","Selection","alt"
"","72252","Move Right","n/A","right","XCode","Selection","None"
"","72253","Move Paragraph Backward Extending Selection","n/A","alt+shift+up","XCode","Selection","alt shift"
"","72254","Move to Beginning of Text Extending Selection","n/A","alt+shift+right","XCode","Selection","alt shift"
"","72255","Move Left Extending Selection","n/A","shift+left","XCode","Selection","shift"
"","72256","Move Paragraph Backward","n/A","alt+up","XCode","Selection","alt"
"","72257","Move Word Backward","n/A","ctrl+alt+b","XCode","Selection","ctrl alt"
"","72258","Move Backward","n/A","ctrl+b","XCode","Selection","ctrl"
"","72259","Move Forward","n/A","ctrl+f","XCode","Selection","ctrl"
"","72260","Move Page Down Extending Selection","n/A","ctrl+shift+v","XCode","Selection","ctrl shift"
"","72261","Move Paragraph Forward","n/A","alt+down","XCode","Selection","alt"
"","72262","Move to End of Text","n/A","cmd+right","XCode","Selection","cmd"
"","72263","Move Page Up","n/A","alt+pageup","XCode","Selection","alt"
"","72264","Move Up Extending Selection","n/A","ctrl+shift+p","XCode","Selection","ctrl shift"
"","72265","Move Forward Extending Selection","n/A","ctrl+shift+f","XCode","Selection","ctrl shift"
"","72266","Move Page Down","n/A","ctrl+v","XCode","Selection","ctrl"
"","72267","Move to End of Document","n/A","cmd+down","XCode","Selection","cmd"
"","72268","Move Word Forward","n/A","ctrl+alt+f","XCode","Selection","ctrl alt"
"","72269","Move Word Left","n/A","alt+left","XCode","Selection","alt"
"","72270","Move to Beginning of Text","n/A","cmd+left","XCode","Selection","cmd"
"","72271","Move Word Left Extending Selection","n/A","alt+shift+left","XCode","Selection","alt shift"
"","72272","Move Subword Backward Extending Selection","n/A","ctrl+shift+left","XCode","Selection","ctrl shift"
"","72273","Move Paragraph Forward Extending Selection","n/A","alt+shift+down","XCode","Selection","alt shift"
"","72274","Move to End of Paragraph","n/A","ctrl+e","XCode","Selection","ctrl"
"","72275","Move to End of Paragraph Extending Selection","n/A","ctrl+shift+e","XCode","Selection","ctrl shift"
